2023-09-20 16:43:45 status half-installed libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:45 status config-files libgssapi-krb5-2:amd64 1.20.1-2
2023-09-20 16:43:45 status installed libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:45 remove libkrb5-3:amd64 1.20.1-2 <none>
2023-09-20 16:43:45 status half-configured libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:45 status half-installed libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:45 status config-files libkrb5-3:amd64 1.20.1-2
2023-09-20 16:43:45 status not-installed libkrb5-3:amd64 <none>
2023-09-20 16:43:45 status installed libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:45 remove libk5crypto3:amd64 1.20.1-2 <none>
2023-09-20 16:43:45 status half-configured libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:45 status half-installed libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:45 status config-files libk5crypto3:amd64 1.20.1-2
2023-09-20 16:43:45 status not-installed libk5crypto3:amd64 <none>
2023-09-20 16:43:45 status installed libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:45 remove libkeyutils1:amd64 1.6.3-2 <none>
2023-09-20 16:43:45 status half-configured libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:45 status half-installed libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:45 status config-files libkeyutils1:amd64 1.6.3-2
2023-09-20 16:43:45 status not-installed libkeyutils1:amd64 <none>
2023-09-20 16:43:45 status installed libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:45 remove libkrb5support0:amd64 1.20.1-2 <none>
2023-09-20 16:43:45 status half-configured libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:45 status half-installed libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:45 status config-files libkrb5support0:amd64 1.20.1-2
2023-09-20 16:43:45 status not-installed libkrb5support0:amd64 <none>
2023-09-20 16:43:45 status installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:45 remove libldap-2.5-0:amd64 2.5.13+dfsg-5 <none>
2023-09-20 16:43:45 status half-configured libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:45 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:45 status config-files libldap-2.5-0:amd64 2.5.13+dfsg-5
2023-09-20 16:43:45 status not-installed libldap-2.5-0:amd64 <none>
2023-09-20 16:43:45 status installed libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:45 remove libnghttp2-14:amd64 1.52.0-1 <none>
2023-09-20 16:43:45 status half-configured libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:45 status half-installed libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:45 status config-files libnghttp2-14:amd64 1.52.0-1
2023-09-20 16:43:45 status not-installed libnghttp2-14:amd64 <none>
2023-09-20 16:43:45 status installed libpsl5:amd64 0.21.2-1
2023-09-20 16:43:45 remove libpsl5:amd64 0.21.2-1 <none>
2023-09-20 16:43:45 status half-configured libpsl5:amd64 0.21.2-1
2023-09-20 16:43:45 status half-installed libpsl5:amd64 0.21.2-1
2023-09-20 16:43:45 status config-files libpsl5:amd64 0.21.2-1
2023-09-20 16:43:45 status not-installed libpsl5:amd64 <none>
